,adapter,advertised,affordable,air,amazing,amazon,antenna,apple,audio,awesome,backup,bad,bag,bang,basic,batteries,battery,beat,best,better,big,bit,black,bluetooth,bought,box,brand,buck,built,buy,cable,cables,camera,canon,car,card,case,charge,charger,charging,charm,cheap,choice,class,clear,comfortable,compact,computer,connection,convenient,cool,cooler,cord,cost,cover,customer,deal,decent,described,design,device,devices,did,didn,digital,disappointed,does,doesn,don,drive,drives,durable,dvd,ear,easy,effective,exactly,excellent,expected,expensive,external,extra,failed,fan,fantastic,far,fast,features,filter,finally,fine,fit,fits,flash,functional,galaxy,garmin,gb,gets,gift,good,got,gps,great,handy,happy,hard,hd,hdmi,headphones,headset,heavy,high,highly,home,hub,impressed,inch,inexpensive,install,ipad,iphone,ipod,issues,item,job,junk,just,keyboard,kindle,kit,laptop,large,lens,life,light,like,little,logitech,long,look,looking,looks,lot,lots,love,low,mac,macbook,make,makes,media,memory,micro,mini,mm,modem,money,monitor,months,mount,mouse,mp,music,need,needed,needs,new,nexus,nice,nikon,ok,okay,old,outstanding,pay,pc,perfect,perfectly,performance,phone,picture,piece,play,player,pleased,plug,poor,port,portable,power,pretty,price,pro,problem,problems,product,protection,protector,ps,purchase,quality,quick,quiet,quite,radio,range,read,real,really,recommend,recommended,reliable,remote,replacement,review,right,roku,router,samsung,sandisk,say,says,screen,sd,seagate,second,service,set,setup,short,signal,simple,simply,size,slow,small,smart,software,solid,solution,sony,sound,space,speaker,speakers,speed,ssd,stand,stars,storage,streaming,strong,sturdy,stylus,super,support,supposed,sure,switch,tablet,tb,terrible,thing,time,tiny,touch,travel,tripod,tv,unit,update,upgrade,usb,use,used,useful,using,value,ve,video,wall,want,wanted,way,wd,wifi,windows,wireless,wish,wonderful,work,worked,working,works,worth,wow,wrong,year,years
0,0,5,0,0,1,0,0,0,0,7,0,0,0,0,0,0,0,4,6,4,1,0,0,0,3,0,0,1,1,7,2,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,1,0,0,2,0,2,0,0,1,0,0,14,2,1,7,3,0,0,0,0,0,1,1,1,0,0,0,0,3,0,0,1,0,0,0,0,0,34,2,0,38,0,1,1,1,1,0,0,1,2,1,1,0,0,2,2,11,0,0,0,0,1,0,2,7,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1,1,0,3,2,0,0,0,0,0,0,0,0,0,0,5,1,0,57,0,0,0,0,1,0,2,0,6,0,3,0,0,1,0,0,4,3,1,0,0,1,0,0,1,0,4,0,0,0,1,15,0,0,1,13,0,0,0,1,8,1,0,0,0,1,0,2,0,0,0,0,0,0,1,0,0,0,3,0,0,0,2,0,0,0,1,0,1,0,0,3,0,1,0,0,0,0,7,1,1,0,0,0,0,0,0,1,0,0,0,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,1,0,0,0,2,0,0,0,8,1,0,19,0,1,2,0,0,0,0,0,0,3,3,0,24,1,1,0,0,0
1,0,0,0,0,11,0,0,0,0,6,0,4,1,6,0,0,0,8,46,9,5,2,0,0,3,0,1,7,0,12,0,0,0,0,0,0,3,0,0,0,1,6,3,1,3,10,2,1,0,0,1,0,1,0,0,1,3,4,0,8,1,0,3,2,0,0,0,1,1,0,0,6,0,2,0,0,0,28,0,0,0,0,0,2,2,3,0,0,0,2,2,2,0,0,0,0,0,0,0,0,49,1,0,109,0,1,2,0,0,95,2,0,1,1,0,0,2,0,1,0,0,1,1,0,0,0,0,10,0,0,1,0,0,0,0,2,1,4,0,6,4,4,2,1,1,7,1,0,0,1,0,0,0,0,0,0,0,15,0,1,0,0,1,3,0,1,1,2,0,7,0,3,0,5,3,1,0,4,0,1,0,0,0,0,1,0,2,1,0,14,0,4,41,7,1,0,8,0,0,0,1,25,0,0,0,0,3,1,1,4,0,0,2,0,0,3,2,0,0,0,0,1,0,0,0,0,2,0,4,0,2,0,0,6,0,0,5,0,0,0,0,1,86,0,0,0,0,0,2,1,1,0,0,0,0,2,1,0,0,0,0,0,1,0,6,1,0,3,0,0,0,0,0,0,3,2,0,2,22,7,0,0,2,0,0,0,0,0,0,1,3,2,0,1,1,4,5,0,1,3
2,0,0,1,0,11,0,0,0,0,11,0,1,0,1,0,0,0,4,53,7,1,0,0,0,2,0,1,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,4,1,4,13,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,5,0,0,0,0,5,3,0,1,26,1,1,0,0,0,0,8,4,0,0,0,1,0,3,1,0,0,0,0,0,0,1,32,2,0,74,0,4,2,1,0,101,5,1,4,1,2,0,0,0,1,0,0,0,1,1,0,0,1,5,0,0,0,0,0,0,1,0,2,2,0,4,1,0,0,0,0,7,0,0,0,2,0,0,0,0,0,0,0,9,4,0,0,0,2,2,4,0,0,1,0,15,0,2,0,2,3,1,0,5,0,0,0,0,0,0,0,0,1,1,0,0,0,2,29,0,1,1,3,0,0,0,0,21,0,0,2,0,4,0,3,2,2,0,0,0,0,1,1,0,0,0,0,2,0,0,0,0,1,0,2,0,0,0,1,4,0,0,2,0,0,1,0,23,59,0,0,0,0,0,0,1,0,0,4,0,0,3,0,0,2,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,3,4,0,0,14,15,0,0,0,2,0,0,0,0,0,0,4,1,0,0,1,6,4,5,0,11
3,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,2,0,1,1,0,0,0,3,0,1,3,1,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,1,1,3,0,0,0,0,2,0,0,1,0,0,1,2,1,0,2,0,0,8,1,1,0,0,0,0,0,12,2,2,3,3,0,0,1,0,0,0,3,4,0,0,0,2,0,0,0,0,0,0,0,0,0,17,0,0,55,0,0,0,0,0,0,0,0,2,1,4,3,0,0,1,1,0,0,0,0,1,7,0,2,0,0,0,0,0,0,0,0,2,6,0,1,0,1,0,0,0,4,3,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,5,2,0,0,4,0,1,0,0,0,0,2,3,2,2,0,0,0,7,0,0,7,0,12,0,1,0,6,0,1,2,15,0,0,1,1,7,1,0,0,0,0,1,0,0,0,0,7,0,0,3,2,0,8,0,0,0,0,0,0,0,0,0,1,3,0,0,11,0,1,0,6,0,0,6,4,0,0,0,0,0,1,0,0,0,0,0,0,2,0,3,0,2,1,57,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0,0,2,3,1,0,0,0,0,1,0,1,0,0,1,0,1,3,3,19,0,0,1,0,0
4,0,0,1,0,0,1,0,0,0,1,0,4,0,0,1,0,0,2,6,2,0,1,0,0,2,1,1,0,0,7,0,0,0,0,1,0,0,0,0,0,0,4,0,0,3,0,19,0,0,0,0,0,0,0,0,0,2,5,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,7,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,38,1,0,36,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,3,0,0,0,0,0,1,0,1,3,2,0,0,0,1,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,10,0,0,0,0,0,0,1,1,0,0,0,18,0,4,3,1,1,4,0,2,0,0,0,1,1,0,0,0,0,2,0,3,0,3,18,0,1,1,7,0,0,0,2,7,0,0,1,0,1,0,0,2,0,0,0,0,0,3,1,0,0,0,0,1,0,0,0,0,1,0,2,0,0,0,0,0,4,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,2,3,0,0,0,0,0,0,0,0,2,2,0,0,19,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2,5,2,0,1,0
5,0,3,1,0,3,0,0,0,0,1,0,2,0,0,0,0,0,0,5,3,1,1,0,0,0,5,0,0,0,5,4,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,4,0,0,0,0,0,0,3,0,0,0,1,1,0,1,1,0,0,3,2,2,0,0,0,0,0,26,0,0,10,0,1,0,1,0,0,4,1,2,0,0,0,5,0,0,0,0,0,0,0,1,0,19,1,0,41,1,3,0,0,0,0,0,0,2,0,8,1,0,0,0,7,0,0,0,0,1,0,2,4,0,0,0,0,0,0,3,0,3,3,0,2,1,0,0,0,0,2,1,5,0,0,0,0,0,0,0,0,2,3,0,1,0,0,0,0,2,1,1,1,0,1,0,4,0,1,0,1,1,3,0,3,0,0,1,2,0,1,2,5,2,0,1,1,8,0,2,3,25,1,0,0,0,3,0,0,0,0,0,0,1,0,0,0,5,0,0,0,3,0,23,0,0,1,1,0,0,0,0,3,15,6,3,0,7,1,0,0,1,0,3,6,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,3,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,6,4,0,0,2,0,0,1,0,0,3,0,0,1,0,0,0,5,2,4,31,2,2,1,0,6
6,0,0,1,0,6,1,0,0,0,3,0,11,0,6,4,0,0,7,25,10,6,1,0,0,3,0,0,6,0,8,0,0,0,0,0,0,0,0,0,0,0,19,1,1,2,6,1,3,0,0,0,0,1,7,0,0,5,14,0,1,0,0,2,2,0,0,3,2,1,0,0,2,1,0,1,1,1,22,1,0,0,1,0,0,6,0,1,0,0,0,6,6,1,0,0,0,0,0,0,2,108,2,0,127,0,0,1,0,0,114,6,0,1,0,0,0,2,0,7,0,1,2,0,0,1,4,1,8,0,0,0,0,0,0,0,8,5,8,0,1,0,4,0,0,0,7,12,0,0,0,0,0,0,0,0,0,0,17,0,2,0,0,4,1,0,1,1,0,0,30,0,7,6,2,2,5,0,8,1,3,0,0,0,0,4,0,0,7,6,2,0,3,109,0,0,1,15,0,0,0,0,28,0,0,2,0,0,0,0,5,0,0,0,0,0,2,2,1,0,0,0,1,0,0,0,0,0,0,7,0,1,0,2,3,0,0,2,0,0,3,1,2,75,0,0,0,0,0,1,3,0,0,0,0,0,2,0,1,0,0,0,0,1,2,1,1,0,0,0,0,0,0,0,0,4,0,0,2,31,4,0,0,1,2,1,0,0,0,0,2,4,11,1,0,10,4,2,1,1,2
7,0,0,0,0,1,0,0,0,0,3,0,4,1,0,1,0,0,0,2,6,0,0,0,0,1,0,0,0,0,2,0,0,3,20,0,0,0,0,0,0,0,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,5,2,0,0,0,1,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,33,1,0,66,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,4,0,0,92,0,0,7,3,0,2,1,1,0,1,0,7,1,0,0,0,1,0,0,0,0,12,0,10,0,0,0,0,0,0,0,0,1,0,0,9,0,6,0,1,0,2,0,4,0,1,0,1,0,0,0,0,0,3,0,0,0,2,27,0,0,1,1,0,0,0,1,9,1,0,0,0,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,2,0,0,0,0,0,0,1,3,0,11,0,0,0,1,2,0,0,0,0,0,2,0,1,0,0,7,3,0,0,0,1
8,0,2,0,0,1,0,0,0,0,2,0,0,0,0,0,1,0,0,3,1,1,1,0,0,0,0,0,0,0,3,9,0,10,30,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2,1,0,5,0,0,0,0,0,1,0,2,0,2,0,2,0,10,1,1,0,0,0,0,0,2,1,4,9,2,1,0,0,0,0,1,0,0,0,0,0,6,0,2,0,0,0,0,0,0,0,11,1,0,51,4,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,3,4,0,7,0,0,0,0,0,0,0,2,2,3,0,8,1,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,1,0,0,7,1,0,0,0,0,0,0,10,5,0,0,0,0,0,0,1,0,0,0,0,0,1,3,0,0,0,6,0,0,0,3,6,0,0,1,0,0,0,0,0,1,1,1,42,0,2,1,0,0,0,0,1,1,0,0,0,0,0,0,0,7,0,4,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2,0,26,0,0,0,0,2,1,0,0,2,0,0,0,0,0,6,0,4,0,0,0,2,0,2,2,1,0,0,0,1,1,1,4,2,1,49,0,0,0,0,0
9,0,1,3,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,2,2,0,0,0,0,4,0,1,0,1,4,80,15,0,0,0,0,0,0,0,0,1,6,0,0,0,0,0,1,1,0,0,0,1,0,0,0,3,1,2,0,1,0,0,1,0,0,7,1,1,0,0,1,0,0,0,0,0,4,5,0,0,0,1,0,1,1,1,0,0,0,7,0,0,0,2,0,0,0,1,0,40,1,0,58,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,4,1,0,9,0,1,0,0,0,0,0,0,6,2,0,4,0,0,0,0,0,2,4,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,3,2,0,3,0,6,0,0,3,1,0,4,1,7,4,0,0,0,0,1,1,0,1,0,0,0,0,0,28,1,1,1,9,0,0,0,2,16,0,0,0,0,0,0,0,1,1,1,0,0,2,1,4,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,2,0,0,0,0,1,1,0,4,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,36,0,0,1,0,2,0,0,0,1,0,0,0,0,0,0,0,1,2,6,0,58,2,0,1,1,1
